RCP_SNO,RCP_TTL,CKG_NM,RGTR_ID,RGTR_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_IPDC,CKG_MTRL_CN,CKG_INBUN_NM,CKG_DODF_NM,CKG_TIME_NM,FIRST_REG_DT
221098,해물을 가득 넣은 뚝배기 해물떡볶이,뚝배기해물떡볶이,skfo0701,박꽃나래,16000,8.0,37.0,볶음,술안주,해물류,밥/죽/떡,해물을 가득가득 넣은 떡볶이를 만들어 보아요~ 보통먹는 자잘한 떡볶이가 아니라 볶아 만드는 떡볶이랍니다~ 일명 안주용 떡볶이죠~ 맛있는 떡볶이 함께 만들어 보아요~,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,2인분,중급,30분이내,20071012223648.0
221101,스팸 샌드위치 만들기,스팸샌드위치,skfo0701,박꽃나래,31602,10.0,103.0,기타,도시락,밀가루,빵,보통 스팸은 그냥 구워서 밥에만 올려먹잖아요~ 하지만 샌드위치로 만들어 먹으면 더~ 맛있답니다~ 아주~ 간단하지만 폼나는 스팸 샌드위치~ 함께 만들어 보아요~,[재료] 스팸 싱글 1팩| 샌드위치용 식빵2쪽| 토마토 1개| 상추 2쪽| 치즈 1장 [양념] 홀그레인머스터드| 허니머스터드| 다진양파,1인분,초급,15분이내,20071012223908.0
221102,참치 깻잎 주먹밥,참치깻잎주먹밥,skfo0701,박꽃나래,31537,16.0,255.0,기타,도시락,채소류,밥/죽/떡,동글동글 모양도 이쁘고 색도 이쁜 도시락입니다~ 게다가 맛도 정말 좋아요~,[재료] 밥 2공기| 깻잎 10장| 참치 작은캔 1개| 당근1/2개| 조미 김10장 [양념] 다진 마늘1/4t개| 깨소금| 맛소금| 참기름,2인분,초급,60분이내,20071012224039.0
223583,새우볶음밥 고로케,새우볶음밥고로케,skfo0701,박꽃나래,27837,19.0,942.0,튀김,도시락,해물류,빵,새우는 조금만 생각을 달리해도 정말 색다른 요리가 탄생하는 재료랍니다~ 이쁜 고로케 한번 만들어 보아요~,[재료] 새우 10마리| 밥 2공기| 김치 1/4포기| 당근 1/2개| 감자 1/2개| 양파 1/2개| 빵가루| 달걀| 밀가루,2인분,중급,60분이내,20071018221219.0
223584,꼬마 스팸 쌈밥 만들기,스팸쌈밥,skfo0701,박꽃나래,18129,5.0,101.0,기타,도시락,가공식품류,밥/죽/떡,스팸을 이용한 맛있는 쌈밥이예요~ 꼭 도시락이 아니더라도 아침에 간단하게 드시거나 입맛없을때 한끼 식사로도 너무 좋은 쌈밥이랍니다~,[재료] 밥 2공기| 상추(작은걸로골라서)나그외쌈야채| 스팸| 밑반찬 [양념] 참기름 1/2t| 맛소금 약간 | 깨 약간 ,2인분,아무나,30분이내,20071018222625.0
225141,베이컨 김치말이 밥,베이컨김치말이밥,skfo0701,박꽃나래,68470,53.0,3045.0,기타,도시락,가공식품류,밥/죽/떡,오늘은 누구나 좋아하는 베이컨과 김치를 가지고 맛있는 베이컨김치말이밥을 만들어 보아용~ 아이들 소풍도시락에도 좋지만~ 아빠들이 더 좋아할 도시락이랍니다~,[재료] 밥 1공기| 김치 1/6포기| 베이컨 적당량 | 깻잎 5장| 양파 1/4개,2인분,초급,60분이내,20071022234431.0
225146,스팸 오이 식빵롤,스팸오이식빵롤,skfo0701,박꽃나래,37675,39.0,1029.0,굽기,도시락,밀가루,빵,스팸이랑 오이만 있으면 간단하게 만들 수 있어서 아이들과 함께 만들어 봐도 좋을거 같아요~ 간단히 도시락쌀때나 피크닉 기분을 내고 싶을때 아이들 간식으로도 좋아요~,[재료] 식빵 4장| 스팸 1/3캔| 오이 1개| 체다치즈(노란치즈) [양념] 머스터드| 피클| 마요네즈,2인분,초급,30분이내,20071022235649.0
331003,달콤 쫀득 고구마 치즈스틱,고구마치즈스틱,skfo0701,박꽃나래,16437,17.0,188.0,튀김,간식,채소류,디저트,평소에 치즈스틱을 만들때 튀김옷을 꼼꼼히 입히지 않으면 튀길때 치즈들이 삐져나와서 불편했는데~ 이제는 그런 걱정 하지마세요~ 치즈가 달콤한 고구마옷을 입으면 빠져나오지도 않고 더 맛있다는 사실~ 함께 만들어 보아요,[재료] 고구마 큰거 2개| 모차렐라치즈(피자치즈) 1/2개| 버터 1T| 밀가루| 빵가루| 달걀 1개,2인분,초급,60분이내,20071027213944.0
331006,매콤 오징어 볶음우동,오징어볶음우동,skfo0701,박꽃나래,25379,8.0,95.0,볶음,일상,해물류,면/만두,오늘은 오징어를 맛있게 볶아봤어요~ 보통 오징어볶음은 소면이랑 같이 많이들 드시잖아요~ 근데 소면대신 우동사리를 넣으면 오통통하게 씹히는 맛이 더 좋답니다~ 보기에는 매워도 막상 먹을때는 많이 맵지 않아서~ 아이들과 함께 드실 수 있어요~,[재료] 오징어 1마리| 양파 1/4개| 대파 1/2쪽| 당근 1/3개| 청고추 1개| 홍고추 1개 [양념] 고추장 1T| 고춧가루 1T| 다진 마늘 1T| 참기름 1T| 설탕 1t| 간장 1t| 청주 1t| 후추 약간| 소금 약간,2인분,중급,30분이내,20071027215318.0
333866,영양가득 호두 가래떡구이,호두가래떡구이,skfo0701,박꽃나래,8703,4.0,88.0,굽기,영양식,콩/견과류,디저트,손님대접에도 좋고 아이들에게도 좋은 호두 가래떡구이입니다.,[재료] 가래떡 1개| 호두 15알 정도 [양념] 깨 3T| 꿀 5T,1인분,아무나,15분이내,20071101215302.0
333869,카레새우 삼각김밥 도시락싸기,카레새우삼각김밥,skfo0701,박꽃나래,11758,4.0,71.0,기타,도시락,해물류,밥/죽/떡,카레좋아하는 분들 많잖아요~ 근데 도시락으로 싸기에는 난감하잖아요~ 마땅히 데울때도 없고~ 이제는 그런 걱걱걱정하지 마세요~ 꽃날이 해냈습니다요~ 카레가 도시락속으로! 카레의 완벽한 변신! 카레새우삼각김밥~ 함께 만들어 보아요~,[재료] 새우 7마리| 양파 1/4개| 김치 1/6포기| 밥지을쌀| 김밥용김| 계란| 밀가루| 빵가루 [양념] 백세 카레가루 2T,2인분,중급,90분이내,20071101220444.0
340534,블루베리가 톡톡 씹혀요~ 블루베리쨈과 모닝베리♥,블루베리쨈,skfo0701,박꽃나래,14497,2.0,76.0,조림,간식,과일류,양념/소스/잼,첨가물이 가득 들어있는 쨈보다는 집에서 직접 만들어보아요~ 설탕도 조절할수 있고 맛도 좋은 홈메이드 쨈♥ 오늘은 제가 너무 좋아하는 블루베리를 이용해서 만들어 볼께용~,[재료] 블루베리 500g| 설탕 150g| 레몬즙 2T| 럼 1T| 모닝빵 3개,2인분,중급,60분이내,20071111141518.0
340537,미니새우버거♥,미니새우버거,skfo0701,박꽃나래,6642,5.0,84.0,굽기,일상,해물류,빵,기름에 튀긴 새우버거는 NO! 신선한 야채와 새우로 만든 더 건강하고 맛있는 미니새우버거♥ ,[재료] 모닝빵 3개| 새우 10마리| 상추 3장| 토마토 1개| 피클 약간| 마요네즈 [패티양념] 다진양파 1/2개| 빵가루| 밀가루| 계란| 소금| 후추,3인분,초급,30분이내,20071111142910.0
343935,달콤하고 고소한 고구마 그라탕,고구마그라탕,okwn7,센,7454,1.0,44.0,굽기,일상,채소류,양식,그냥 먹어도 달고 맛난 고구마지만 좀 더 달콤하고 맛나게 특별하게 그라탕으로 즐기는 것도 좋죠. 요건 달콤한 커스터드 크림과 아몬드 슬라이스를 더해 더욱 달콤하고 고소하게 즐길 수 있답니다.,[재료] 고구마 으깬것 250g| 생크림 2큰술| 설탕 1큰술| 버터 1큰술| 아몬드슬라이스| 모짜렐라치즈 [커스타드크림] 우유 270ml| 박력분 25g| 노른자 3개| 설탕 60g| 바닐라오일 약간| 버터 20g,2인분,초급,30분이내,20071115224032.0
344698,쌀로 만든 밤식빵,밤식빵,okwn7,센,7398,5.0,76.0,굽기,간식,밀가루,빵,집에서 만든 밤조림과 국내산 쌀가루로 만든 빵이라 안심하고 먹을수 있어요. 나풀나풀 뜯어지는 쫄깃하고 부드런 닭살 질감을 자랑하는 쌀로 만든 밤식빵 같이 만들어 보실래요?,[재료] 국내산 제빵용 쌀가루 390그램| 계란 1개| 우유 250~270ml| 인스턴트 드라이 이스트 4그램| 소금 4그램| 버터 50그램| 설탕 50그램| 밤조림 150그램| 아몬드 슬라이스 30그램. [쿠키반죽] 버터 75그램| 설탕 75그램| 노른자 1개| 박력분 110그램| 바닐라오일 약간,6인분이상,중급,2시간이상,20071116203632.0
345834,고소한 고구마보트,고구마보트,okwn7,센,4116,0.0,12.0,굽기,간식,채소류,디저트,달콤하고 부드러운 고구마가 커스타드크림을 만나 한층 더 고급스러운 맛을 자랑하는 고구마보트입니다.,[재료] 고구마 5개| 생크림 3큰술| 버터 2큰술| 커스타드크림 100g| 설탕 1큰술| 소금 약간 | 소금 약간| 설탕 1큰술,3인분,초급,30분이내,20071119133949.0
346652,포실포실 부드러운 감자스프,감자스프,skfo0701,박꽃나래,9866,3.0,81.0,끓이기,일상,채소류,스프,누구나 좋아하는 포실포실 감자스프 함께 만들어 보아용,[재료] 감자(中) 2개| 생크림 1C| 우유 1C| 양파 1/2개| 베이컨 2장| 체다치즈 1장| 피자치즈 약간 [양념] 버터 1T| 육수 1C,2인분,초급,60분이내,20071120135922.0
346665,맛있는 김치와 굴을 넣은 뚝배기 라면,뚝배기라면,skfo0701,박꽃나래,37365,14.0,148.0,끓이기,야식,가공식품류,면/만두,누구나 쉽게 끓일 수 있는 라면에 제철을 맞은 싱싱한 굴과 김치를 넣어서 맛있는 라면을 끓여보아요.,[재료] 좋아하는 종류의 라면 1봉지| 김치 1/4포기| 굴 5~6개| 파 1개| 청or홍고추 1개 [양념] 고춧가루 약간,1인분,아무나,10분이내,20071120141425.0
347791,오븐에 굽는 포테이토스킨,포테이토스킨,okwn7,센,8184,5.0,114.0,굽기,간식,채소류,디저트,감자는 어떤걸 해먹어도 맛있지만 간혹 좀 느끼하고 리치한 맛을 원할때가 있죠. 패밀리레스토랑 같은곳에나 가야 맛볼수 있는 포테이토스킨을 집에서도 쉽고 간단하게 만들어 먹을수 있어요. 기름에 튀기지 않고 오븐에 굽기 때문에 덜 느끼하고 담백하게 즐길수 있답니다.,[재료] 감자 4개| 올리브유 약간| 베이컨 4장| 모짜렐라치즈 200그램| 파슬리 약간 [양념] 소금 약간,2인분,초급,30분이내,20071121232920.0
349330,오코노미야키,오코노미야키,skfo0701,박꽃나래,17893,6.0,219.0,부침,술안주,육류,메인반찬,술안주나 간식으로 쉽게 만들수 있는 일본요리 ,[재료] 양배추 1/2통| 숙주 1줌| 오징어 1마리| 새우 6마리| 베이컨 2줄| 계란 1개| 실파 약간 [오코노미야키반죽] 밀가루 1C| 물 1C| 혼다시 1T| 후추&소금 약간 [양념] 돈가스소스| 마요네즈,2인분,중급,60분이내,20071123221334.0
349332,바삭바삭 야끼만두,야끼만두,skfo0701,박꽃나래,25140,4.0,267.0,튀김,간식,밀가루,면/만두,오늘은 떡볶이의 베스트프렌드 야끼만두를 만들어 볼게요. 분식집에서 흔히 먹는 야끼만두보다 더 바삭바삭하고 안이 꽉찬 야끼만두예요. 저는 분식집 야끼만두의 기름에 쩔은듯한 그 식감이 너무 싫었는데 시판 만두피를 이용해서 집에서 만드니 바삭바삭하고 정말 맛있답니다.,[재료] 당면 2줌| 부추 1줌| 만두피 10장 [양념] 간장 2T| 물엿 또는 설탕 1T| 참기름 1T| 다진 파 1T| 다진 마늘 1T | 소금 약간| 후추 약간,2인분,중급,60분이내,20071123222551.0
349381,가정식 두부조림,두부조림,okwn7,센,17160,9.0,44.0,조림,일상,콩/견과류,밑반찬,매콤 짭짤하고 단백질까지 보충할수 있는 은근히 밥도둑 두부조림. 보통 저희집 가정에서 손쉽게 해먹는 반찬중 하나예요. 매콤한 꽈리고추와 햇고춧가루를 넣고 비타민까지 보충한 손쉬운 밥반찬을 만들어 봤어요.,[재료] 손두부 1모| 포도씨유| 소금 약간| 꽈리고추 1줌| 양파 1/2개| 대파 1줄기 [양념장] 간장 70ml| 물 300ml| 설탕 1큰술| 물엿 or요리당 1큰술| 굴소스 1큰술| 고춧가루 2큰술| 마늘 1/2큰술| 후춧가루 1작은술,3인분,초급,15분이내,20071124012206.0
349386,매콤 화끈한 매운 갈비찜,매운갈비찜,okwn7,센,10110,4.0,28.0,찜,일상,육류,메인반찬,화끈화끈 매운맛에 입에서 살살 녹는 부드런 갈비찜이예요.,[재료] 갈비 900그램| 월계수잎 3장| 통마늘 7쪽| 후춧가루 1/2큰술| 청주 1큰술| 감자 2개| 양파 1개 [양념] 고춧가루 1컵(대략 8큰술)| 간장 1컵(8큰술)| 청량고추 3개| 통마늘 10개| 청주 3큰술| 설탕 3큰술| 생강가루 1/2큰술| 참기름 1+1/2큰술| 양파 1개| 파인애플 2쪽| 양겨자가루 3큰술,4인분,중급,2시간이상,20071124014820.0
349740, 초간단 어묵 볶음,어묵볶음,okwn7,센,18607,10.0,30.0,볶음,일상,가공식품류,밑반찬,밥반찬으로 주로 뭘 해 드시나요? 저는 어묵을 좋아해서 어묶볶음을 자주 해먹곤 해요. 오늘 소개할 반찬은 가정식 어묵볶음 입니다...,[재료] 어묵 500g| 포도씨유 적당량 | 꽈리고추 1줌| 양파 1/2개| 느타리버섯 1줌| 대파 1줄기| 물 1/4컵 [양념] 간장 70ml| 물 30ml| 설탕 1큰술| 물엿 2큰술| 굴소스 1큰술| 고춧가루 1큰술| 마늘 1/2큰술| 후춧가루 1작은술| 통깨 약간 ,4인분,초급,30분이내,20071125010632.0
351591,매콤달콤 쫀득한 버펄로윙스,버팔로윙스,okwn7,센,4421,1.0,53.0,굽기,술안주,닭고기,양식,미국 뉴욕주 서부의 버펄로에서 유래 되었다는 버펄로윙스. 콜라겐이 많아 쫀득하고 매콤달콤해서 술안주로도  아이들 간식으로도  손님 접대용 요리로도 그만이라죠. 콜라겐이 주름살에 좋다고 하던데  많이 먹으면 눈가에 주름이 쫙쫙 펴질까요? 술안주와 손님 접대용으로는 매콤하게  아이들 간식으로는 핫소스를 조금 빼고 만들면 좋아요. 맥주안주로도 그만이구요. 특별한 상차림에 사이드메뉴로도 또는 메인메뉴로도 손색이 없을것 같아요.,[재료] 닭날개 20개| 재움용 우유 1컵 [허니머스타드소스] 머스타드 1큰술| 마요네즈 1큰술| 꿀 1큰술 [버팔로윙스 소스] 올리브유 1/3컵| 버터 2큰술| BBQ소스 2큰술| A1소스 1큰술| 고운고춧가루 (or파프리카가루) 2작은술| 케첩 1큰술| 후춧가루 1작은술| 다진마늘 1작은술| 핫소스 4큰술| 파슬리 2작은술| 오레가노 1작은술,6인분이상,초급,2시간이상,20071127205749.0
352110,◐전자렌지로 뚝딱 칠리새우 볶음◑,칠리새우볶음,oclara,오클라라,12601,3.0,66.0,볶음,일상,해물류,밑반찬,칸쇼새우는 중국집에서만 맛볼 수 있는 요리라고요? no! 전자레인지를 이용해 10분만에 만드는 초간단 칠리새우. 매콤새콤 술 땡기는 그날  안주로 딱이예요!,,,초급,,20071128142607.0
352364,사색꼬마김밥,꼬마김밥,skfo0701,박꽃나래,27286,8.0,90.0,기타,도시락,쌀,밥/죽/떡,김밥 하나당 재료 하나씩만 넣어서 크기를 확줄였답니다. 하지만 맛은 너무너무 좋다는거. 주말에 브런치로도 좋고 도시락으로도 아주 좋은 사색꼬마김밥 함께 만들어 보아용.,[재료] 밥 2공기| 김밥용어묵| 오이 1/2개| 캔햄이나김밥용햄| 김밥용단무지| 김 [양념] 참기름 1T| 맛소금 1T,2인분,초급,30분이내,20071128211114.0
352415,샤르르 녹는 홍시 아이스크림,홍시아이스크림,okwn7,센,4887,0.0,28.0,기타,간식,과일류,디저트,비타민C가 풍부한 감으로 아이스크림을 만들었답니다.,[재료] 홍시 또는 대봉시 큰것 6~7개| 생크림 300그램 [양념] 설탕 또는 꿀 3큰술| 레몬즙 1큰술,6인분이상,아무나,2시간이상,20071128234829.0
355810,곡물빵으로 맛있고 든든하게~ 에그 스팸 샌드위치.,에그스팸샌드위치,okwn7,센,8795,2.0,26.0,굽기,간식,밀가루,빵,,,2인분,아무나,30분이내,20071203160552.0
357068,구수한 맛 그대로 단호박 사블레,단호박사블레,okwn7,센,1843,1.0,19.0,굽기,간식,밀가루,과자,파삭파삭 가벼운 식감에 구수한 호박씨 듬뿍 단호박 사블레 만들어 봐요.,[재료] 박력분 210그램| 단호박가루 45그램| 버터 180그램| 슈가파우더 78그램| 호박씨 50그램| 바닐라오일 약간| 계란흰자 약간| 설탕 약간,6인분이상,중급,2시간이상,20071204204113.0
358881,뮈슬리 초코칩 쿠키,뮈슬리초코칩쿠키,okwn7,센,2933,4.0,24.0,굽기,간식,밀가루,과자,유기농 초코 뮈슬리와 초코칩을 잔뜩 넣어 아주 큼직한 드롭 쿠키를 구웠어요.,[재료] 박력분 250그램| 버터 135그램| 베이킹 파우더 4그램| 베이킹 소다 2그램| 계란 1개| 설탕 125그램| 초코칩 200그램| 유기농 초코 뮈슬리 100~150그램,6인분이상,초급,60분이내,20071206152014.0
369066,고소하고 부드럽구나ㅡ 호두트위스트쌀빵,쌀빵,llkissl,김민지,2938,1.0,12.0,굽기,간식,콩/견과류,빵,이름에서부터 고소함이 묻어나는 빵 !보자마자 이거 맛잇겟다 싶어서 얼른 만들었어요 >ㅁ< 호두랑 통밀이 들어가   고소한맛이 그만인 빵이지요 :),,6인분이상,초급,90분이내,20071210181821.0
369072,계속 먹고싶은 아몬드견과류타르트,아몬드타르트,llkissl,김민지,3715,2.0,29.0,굽기,간식,콩/견과류,과자,밀키님댁에 놀러가서 보았던 고소고소한~ 아몬드견과류타르트. 흐흐 보기에도 먹음직스런 자태에 얼른 찜했었죠 히히. 고소하고 달콤한맛이 정말 그만인 타르트랍니다.,[타르트지 재료] 버터 70g| 박력분 130g| 소금 1g| 설탕 5g| 계란 1개 [아몬드크림] 버터 40g| 크림치즈 40g| 설탕 60g| 생크림 20g| 계란 1개| 아몬드가루 120g| 코코넛가루 30g| 바닐라 오일 1ts| 럼주 1Ts| 견과류 적당량,6인분이상,초급,90분이내,20071210182638.0
369105,팥앙금을 넣어서 만든 파운드케이크 > . < ,팥파운드케이크,llkissl,김민지,2192,1.0,16.0,굽기,간식,밀가루,빵,팥앙금이 들어간 파운드케이크~ㅎ_ㅎ 달콤한 밤조림과 호두를 넣어 더 맛있어요 > __ <,,4인분,초급,60분이내,20071210185800.0
369918,달콤한 홍시와 새콤한 요거트의 만남~ 홍시 프로즌 요거트. ,홍시요거트,okwn7,센,3195,4.0,29.0,기타,간식,달걀/유제품,차/음료/술,아이스크림 메이커 없이도 아주 쉽게 얼마든지 프로즌요거트를 집에서 만들어 먹을 수 있답니다.,[재료] 홍시 큰것 4~5개 [양념] 설탕 4~5큰술| 레몬즙 1큰술| 플레인 요거트 1000ml,2인분,아무나,5분이내,20071211130032.0
371267,◈ 매콤하고맛있는 닭꼬지,닭꼬지,maengi0804,메기맹이,6536,6.0,49.0,굽기,간식,닭고기,디저트,오늘은 닭가슴살로 만들어서 살걱정도  덜고 매콤한 맛으로 가슴살의 텁텁함도 덜 수 있는 닭꼬지를 만들어보았답니다.,,4인분,초급,30분이내,20071212085211.0
372893,집에서 만든 팥앙금으로 ~ 맛난 양갱만들기 *^^*,팥양갱,llkissl,김민지,18246,9.0,125.0,끓이기,간식,곡류,과자,집에서 만든 팥앙금을 넣어서 그런지   달지도 않고 정말 맛있어요 ^^,,6인분이상,초급,60분이내,20071213160138.0
373342,대표적인 크리스마스 빵 파네토네,파네토네,okwn7,센,10510,3.0,47.0,굽기,일상,밀가루,빵,파네토네는 이탈리아 밀라노 지방의 대표적인 빵으로 설탕에 절인 과일과 견과류등을 넣고 발효시킨 빵이라고 합니다. 크리스마스를 기다리며 몇달전부터 만들어 두고두고 조금씩 떼어 먹는 파네토네는 그 맛과 향이 정말 기가 막힌 빵이죠. 1600년경 이탈리아 밀라노 지방에서 토니라는 제빵사가 사랑하는 여인을 위하여 처음 개발한 빵으로  파네토네라는 이름은 토니의 빵(Pan de Toni)이라는 의미에서 유래되었다고 하네요. 또 파네는 '빵'  토네는 '달다'는 뜻도 있다고 합니다. 함께 만들어 보시죠.,[재료] 강력분 600그램| 우유 250그램| 인스턴드 드라이 이스트 16그램| 소금 9그램| 설탕 108그램| 레몬즙 1큰술| 버터 120그램| 계란 2개| 꿀 12그램| 각종 당절임 과일 240그램| 럼주 1컵 정도| 토핑용 버터 약간,6인분이상,중급,2시간이상,20071214022318.0
374689,소고기 크림치즈 오븐구이 스파게티 ,소고기크림치즈오븐스파게티,truelies11,June ,8209,0.0,21.0,볶음,일상,밀가루,면/만두,김밥속 남은걸로 만든 김치 소고기 크림 치즈오븐 구이 스파게티 ,[재료] 배추김치 50g| 김밥 속에 넣었던 소고기 50g| 체다치즈 1장| 스파게티 국수 1인분| 모짜렐라 치즈 적당량 [양념] 헤비위핑크림 150g,1인분,초급,30분이내,20071215063309.0
374775,◈ 칼로리를 줄인 브라우니,브라우니,maengi0804,메기맹이,4136,3.0,43.0,굽기,간식,밀가루,빵,안녕하세요~ 오늘은 진한 초코맛의 브라우니를 만들어봤는데요 물론 맛은 조금은 다를 수 있지만 거의 흡사하면서 초콜릿과 유지류가 안들어가서 한조각당 열량은 100cal 정도 낮은 브라우니랍니다. 예민하고 섬세한 입맛으론 구분하시겠지만 전 비슷하더라고요.,,1인분,초급,60분이내,20071215094452.0
375009, 간단하게 만들어용 Artisan bread *^^* ,아티잔브레드,llkissl,김민지,3112,1.0,17.0,굽기,간식,밀가루,빵,아티잔 브레드를 만들었어요 ㅎㅎ 윤정님이 만든것처럼 모양은 이쁘게 나오지 않았지만서도 ㅎㅎ 그래도 맛은 좋으니까 만족할려구요 히히 :),,4인분,중급,90분이내,20071215153426.0
